NUM;ESPECE;REGIME;LONG;POID;MUSC;INTE;ESTO;BRAN;FOIE;REIN
1;Platydoras costatus;detritivores;15.7;98.9;327.0000;280.9660;174.0000;68.6972;2427.000;1794.530
2;Platydoras costatus;detritivores;13.7;60.0;389.0000;347.4660;146.0000;109.6160;1640.000;1001.330
3;Platydoras costatus;detritivores;20.0;176.0;804.0000;338.9030;231.0000;121.3110;1216.000;2628.740
4;Acnodon oligacanthus;herbivores;14.2;103.3;82.7092;62.9687;46.1206;43.5075;144.442;241.046
5;Cynodon gibbus;carnivores;22.4;141.0;8170.0000;1727.0000;3408.7000;1938.0000;33650.000;16196.000
6;Platydoras costatus;detritivores;23.0;368.0;551.0000;340.9880;134.0000;58.6193;6218.000;4566.460
7;Hoplias aimara;carnivores;58.0;5000.0;3735.0000;1400.0000;773.0440;727.0830;6271.150;15163.600
8;Hoplias aimara;carnivores;54.0;4200.0;3990.0000;454.5000;547.8260;668.0000;4651.000;12424.000
9;Hoplias aimara;carnivores;63.0;5500.0;2916.2600;1349.2900;689.0000;621.0000;5504.000;6007.000
10;Hoplias aimara;carnivores;51.0;4000.0;2213.5600;749.7810;501.0000;353.0000;5433.000;2496.000
11;Semaprochilodus vari;detritivores;27.0;670.0;414.1770;327.0680;332.1540;70.0397;21787.800;2805.210
12;Semaprochilodus vari;detritivores;28.0;700.0;556.6090;933.0000;694.9790;98.6495;22362.900;1789.000
13;Leporinus frederici;omnivores;23.0;350.0;255.0000;45.0000;43.4783;20.0000;245.000;113.000
14;Ageneiosus brevifili;carnivores;35.5;625.0;1425.0000;333.0000;439.1300;409.0000;642.000;1414.000
15;Semaprochilodus vari;detritivores;22.0;330.0;449.4630;645.5210;213.7750;74.7704;13946.600;1619.550
16;Acnodon oligacanthus;herbivores;16.0;154.7;50.0000;21.0000;52.1739;8.0000;548.000;153.000
17;Acnodon oligacanthus;herbivores;15.0;117.3;115.0000;33.0000;26.0870;10.0000;543.000;197.000
18;Acnodon oligacanthus;herbivores;10.0;34.9;76.2604;86.7888;178.3350;51.8224;101.261;457.050
19;Hoplias aimara;carnivores;45.0;2200.0;4429.0000;2181.0000;1122.0000;711.0000;5150.000;22015.000
20;Hoplias aimara;carnivores;40.0;1400.0;1570.6700;632.6360;480.0000;270.0000;2304.000;1687.000
21;Hoplias aimara;carnivores;40.0;1400.0;1932.0000;598.4510;443.0000;372.0000;2903.000;4417.000
22;Hoplias aimara;carnivores;25.5;340.0;1269.6500;469.7360;502.0000;276.0000;822.000;1071.000
23;Doras micropoeus;detritivores;27.0;351.0;965.0000;300.0000;395.6520;162.0000;2157.690;8041.000
24;Platydoras costatus;detritivores;25.0;383.0;697.0000;206.6180;209.0000;38.1557;2867.000;5729.000
25;Platydoras costatus;detritivores;23.5;413.0;470.0000;494.7200;288.0000;41.2369;3639.000;7366.000
26;Acnodon oligacanthus;herbivores;16.0;126.0;47.0000;40.3018;68.6407;2.8012;530.404;159.984
27;Acnodon oligacanthus;herbivores;16.2;135.0;44.0000;95.0000;68.8698;69.5391;558.671;244.939
28;Cynodon gibbus;carnivores;22.5;115.0;3491.0000;1761.5500;923.2370;708.1770;8949.610;3461.160
29;Doras micropoeus;detritivores;31.0;505.0;1947.0000;1430.8200;458.3130;199.8310;7450.320;11658.300
30;Doras micropoeus;detritivores;30.0;450.0;1157.0000;1075.1700;323.1840;107.3850;8269.630;16983.600
31;Doras micropoeus;detritivores;29.8;417.0;1640.0000;224.6640;1294.9300;173.6230;10491.100;19600.900
32;Hoplias aimara;carnivores;44.4;1800.0;5937.0000;699.0000;558.8330;823.2340;4859.960;10709.900
33;Leporinus frederici;omnivores;24.3;290.0;549.0000;103.0130;71.9759;33.4009;242.448;212.584
34;Leporinus frederici;omnivores;24.5;320.0;1085.0000;261.2010;625.2040;41.3025;617.068;896.263
35;Ageneiosus brevifili;carnivores;27.0;225.0;5043.0000;2980.0600;1761.1000;853.1030;7105.770;1127.910
36;Ageneiosus brevifili;carnivores;22.5;170.0;1969.0000;1249.0000;1091.1200;559.0000;1091.560;3969.050
37;Hoplias aimara;carnivores;46.0;1810.0;4437.1600;744.0000;887.2810;807.6150;4773.750;8443.000
38;Ageneiosus brevifili;carnivores;28.0;230.0;3107.6700;1148.0000;710.4960;593.2440;1583.510;3565.920
39;Cynodon gibbus;carnivores;32.0;359.0;8737.0000;1516.0000;10860.7000;1663.7100;43014.000;14390.300
40;Cynodon gibbus;carnivores;23.8;128.0;8479.0000;2653.0000;2266.5000;1976.3800;34936.700;27514.600
41;Cynodon gibbus;carnivores;22.2;118.0;7148.0000;1351.5600;6498.7700;1681.2300;12098.800;11311.000
42;Cynodon gibbus;carnivores;23.3;120.0;4567.0000;1802.0000;991.7430;770.8380;17967.100;6490.010
43;Doras micropoeus;detritivores;24.0;207.0;813.0000;1201.1200;424.0630;85.5709;4982.670;5733.950
44;Ageneiosus brevifili;carnivores;31.7;391.0;2968.3100;920.0000;672.3960;452.3920;2731.800;1878.700
