Country;Health Expenditure;Under-five mortality rate;Life expectancy at birth;Health index;Expected Years of Schooling;Mean years of schooling;Education index;GDP per capita;GNI per capita;Income index;Loss due to inequality in life expectancy;Loss due to inequality in education;Loss due to inequality in income;Inequality-adjusted education index;Inequality-adjusted life expectancy index;Inequality-adjusted income index;Inequality-adjusted HDI value;Female male-ratio with at least secondary education;Adolescent fertility rate;Female-male ratio in Labour force;Gender Inequality Index;female-male ratio in parliament;Maternal mortality ratio;POLPRIS;TORT;DOMMOV;SPEECH;NEW_RELFRE;WORKER;WECON;HDI
Norway;7,5;3;81,1;0,964;17,3;12,6;0,985;47676;47557;0,883;3,7;2,2;10,6;0,964;0,928;0,789;0,89;1,002;5,8;0,887;0,075;0,657;7;POLPRIS2;TORT1;DOMMOV2;SPEECH2;NEW_RELFRE1;WORKER1;WECON3;0,943
Australia;6;5;81,9;0,976;18;12;0,981;34259;34431;0,837;4,7;1,7;16,6;0,964;0,931;0,698;0,856;0,979;9,2;0,808;0,136;0,395;8;POLPRIS2;TORT1;DOMMOV2;SPEECH2;NEW_RELFRE2;WORKER1;WECON2;0,929
Netherlands;7,3;4;80,7;0,958;16,8;11,6;0,931;36358;36402;0,845;4,3;3,9;12,5;0,895;0,917;0,739;0,846;0,968;3,4;0,816;0,052;0,607;9;POLPRIS1;TORT2;DOMMOV2;SPEECH2;NEW_RELFRE2;WORKER1;WECON2;0,91
United States;7,1;8;78,5;0,923;16;12,4;0,939;41761;43017;0,869;6,6;3,7;32,4;0,905;0,863;0,587;0,771;1,009;19,1;0,811;0,299;0,202;24;POLPRIS2;TORT1;DOMMOV2;SPEECH2;NEW_RELFRE2;WORKER1;WECON3;0,91
New Zealand;7,1;6;80,7;0,957;18;12,5;1;24706;23737;0,783;5,2;;;;0,907;;;0,975;13,3;0,817;0,195;0,506;14;POLPRIS2;TORT2;DOMMOV2;SPEECH2;NEW_RELFRE2;WORKER2;WECON2;0,908
Canada;7,1;6;81;0,962;16;12,1;0,927;34567;35166;0,84;5;3,2;17,1;0,897;0,914;0,696;0,829;0,996;8,4;0,859;0,14;0,332;12;POLPRIS2;TORT1;DOMMOV2;SPEECH2;NEW_RELFRE2;WORKER1;WECON3;0,908
Ireland;6,1;4;80,6;0,955;18;11,6;0,963;36278;29322;0,814;4,3;3,2;13,8;0,933;0,915;0,701;0,843;1,01;8;0,745;0,203;0,203;3;POLPRIS2;TORT0;DOMMOV2;SPEECH2;NEW_RELFRE1;WORKER1;WECON2;0,908
Liechtenstein;;2;79,6;0,941;14,7;10,3;0,818;;83717;0,964;;;;;;;;;4,9;;;0,316;;POLPRIS2;TORT2;DOMMOV2;SPEECH2;NEW_RELFRE2;WORKER2;WECON2;0,905
Germany;8;4;80,4;0,953;15,9;12,2;0,928;32255;34854;0,838;4;1,8;14,5;0,911;0,915;0,717;0,842;0,984;5,5;0,796;0,085;0,464;7;POLPRIS2;TORT2;DOMMOV2;SPEECH1;NEW_RELFRE1;WORKER1;WECON2;0,905
Sweden;7,4;3;81,4;0,969;15,7;11,7;0,904;32314;35837;0,842;3,3;3,9;10,3;0,869;0,937;0,756;0,851;1,009;5,2;0,875;0,049;0,818;5;POLPRIS2;TORT1;DOMMOV2;SPEECH1;NEW_RELFRE2;WORKER1;WECON3;0,904
